0,662664284,ASJ,ISJ,001-TR,TR,257.5584,2234.2,575437.0
1,229844674,DGU,FAL,005-AE,AE,818.9621,55.3,45288.6
2,662664284,ECA,HCA,020-AE,AE,302.33517,55.3,16719.135
3,381595807,DGU,LPU,009-TR,TR,1488.731,2234.2,3326122.8
4,229844674,BHE,FAL,002-AE,AE,367.2709,55.3,20310.08
5,369637462,LPU,ASJ,016-TR,TR,848.15076,2234.2,1894938.4
6,662664284,ISJ,ASJ,014-TR,TR,257.5584,2234.2,575437.0
7,590114029,GLI,BHE,010-AE,AE,714.75653,55.3,39526.035
8,481212646,HCA,JAL,013-AE,AE,1037.155,55.3,57354.67
9,481212646,ASJ,CLI,006-AE,AE,1211.1625,55.3,66977.28
10,354776885,ISJ,HCA,001-TR,TR,814.0313,2234.2,1818708.8
11,183196389,JAL,BHE,015-TR,TR,604.83466,2234.2,1351321.5
12,481212646,FAL,HCA,008-AE,AE,814.6759,55.3,45051.58
